tm,DVm,PVm
2.030000000000000000e+02,1.000000000000000000e+00,1.940000000000001168e-01
2.040000000000000000e+02,1.000000000000000000e+00,1.950000000000001177e-01
2.050000000000000000e+02,1.000000000000000000e+00,1.990000000000000102e-01
2.060000000000000000e+02,1.000000000000000000e+00,1.980000000000000371e-01
2.070000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
2.080000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
2.090000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
2.100000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
2.110000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
2.120000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
2.130000000000000000e+02,1.000000000000000000e+00,2.030000000000001248e-01
2.140000000000000000e+02,1.000000000000000000e+00,2.062499999999999889e-01
2.150000000000000000e+02,1.000000000000000000e+00,2.030000000000001248e-01
2.160000000000000000e+02,1.000000000000000000e+00,2.044999999999999873e-01
2.170000000000000000e+02,1.000000000000000000e+00,2.077500000000000457e-01
2.180000000000000000e+02,1.000000000000000000e+00,2.095000000000000751e-01
2.190000000000000000e+02,1.000000000000000000e+00,2.102500000000001035e-01
2.200000000000000000e+02,1.000000000000000000e+00,2.102500000000001035e-01
2.210000000000000000e+02,1.000000000000000000e+00,2.110000000000001319e-01
2.220000000000000000e+02,1.000000000000000000e+00,2.102500000000001035e-01
2.230000000000000000e+02,1.000000000000000000e+00,2.102500000000001035e-01
2.240000000000000000e+02,1.000000000000000000e+00,2.150000000000000244e-01
2.250000000000000000e+02,1.000000000000000000e+00,2.167500000000000537e-01
2.260000000000000000e+02,1.000000000000000000e+00,2.182500000000001106e-01
2.270000000000000000e+02,1.000000000000000000e+00,2.182500000000001106e-01
2.280000000000000000e+02,1.000000000000000000e+00,2.182500000000001106e-01
2.290000000000000000e+02,1.000000000000000000e+00,2.182500000000001106e-01
2.300000000000000000e+02,1.000000000000000000e+00,2.182500000000001106e-01
2.310000000000000000e+02,1.000000000000000000e+00,2.207500000000001406e-01
2.320000000000000000e+02,1.000000000000000000e+00,2.197499999999999731e-01
2.330000000000000000e+02,1.000000000000000000e+00,2.207500000000001406e-01
2.340000000000000000e+02,1.000000000000000000e+00,2.197499999999999731e-01
2.350000000000000000e+02,1.000000000000000000e+00,2.197499999999999731e-01
2.360000000000000000e+02,1.000000000000000000e+00,2.230000000000000315e-01
2.370000000000000000e+02,1.000000000000000000e+00,2.222500000000000031e-01
2.380000000000000000e+02,1.000000000000000000e+00,2.247500000000000608e-01
2.390000000000000000e+02,1.000000000000000000e+00,2.255000000000000893e-01
2.400000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.410000000000000000e+02,1.000000000000000000e+00,2.255000000000000893e-01
2.420000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.430000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.440000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.450000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.460000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.470000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.480000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.490000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.500000000000000000e+02,1.000000000000000000e+00,2.280000000000001192e-01
2.510000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.520000000000000000e+02,1.000000000000000000e+00,2.270000000000001461e-01
2.530000000000000000e+02,1.000000000000000000e+00,2.270000000000001461e-01
2.540000000000000000e+02,1.000000000000000000e+00,2.287500000000001477e-01
2.550000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.560000000000000000e+02,1.000000000000000000e+00,2.294999999999999818e-01
2.570000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.580000000000000000e+02,1.000000000000000000e+00,2.327500000000000679e-01
2.590000000000000000e+02,1.000000000000000000e+00,2.312500000000000111e-01
2.600000000000000000e+02,1.000000000000000000e+00,2.335000000000000964e-01
2.610000000000000000e+02,1.000000000000000000e+00,2.335000000000000964e-01
2.620000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.630000000000000000e+02,1.000000000000000000e+00,2.335000000000000964e-01
2.640000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.650000000000000000e+02,1.000000000000000000e+00,2.312500000000000111e-01
2.660000000000000000e+02,1.000000000000000000e+00,2.320000000000000395e-01
2.670000000000000000e+02,1.000000000000000000e+00,2.335000000000000964e-01
2.680000000000000000e+02,1.000000000000000000e+00,2.335000000000000964e-01
2.690000000000000000e+02,1.000000000000000000e+00,2.327500000000000679e-01
2.700000000000000000e+02,1.000000000000000000e+00,2.287500000000001477e-01
2.710000000000000000e+02,1.000000000000000000e+00,2.342500000000001248e-01
2.720000000000000000e+02,1.000000000000000000e+00,2.352500000000000979e-01
2.730000000000000000e+02,1.000000000000000000e+00,2.342500000000001248e-01
2.740000000000000000e+02,1.000000000000000000e+00,2.342500000000001248e-01
2.750000000000000000e+02,1.000000000000000000e+00,2.352500000000000979e-01
2.760000000000000000e+02,1.000000000000000000e+00,2.352500000000000979e-01
2.770000000000000000e+02,1.000000000000000000e+00,2.384999999999999898e-01
